rv_frequency,zurich_lemma,zurich_lemmatype,gra_lemma_rank,gra_lemma_id,revised (y/n)
4718,tvám,Pronomen,,lemma_tva_3983,y
4147,ahám,Pronomen,,lemma_aham_1404,y
4020,yá-,Pronomen,,lemma_ya_6983,y
3346,sá- ~ tá-,Pronomen,1,lemma_sa_9064,y
3346,sá- ~ tá-,Pronomen,2,lemma_ta_3606,y
2843,ā́,Invariabile,,lemma_A_1444,y
2435,índra-,Nominalstamm,,lemma_indra_1708,y
2213,ayám,Pronomen,,lemma_idam_1696,y
2103,ná,Invariabile,,lemma_na_4792,y
1724,agní-,Nominalstamm,,lemma_agni_79,y
1646,devá-,Nominalstamm,,lemma_deva_4419,y
1366,√as- 1,Wurzel,,lemma_as_1305,y
1218,prá,Invariabile,,lemma_pra_5833.1,y
1192,√kr̥-,Wurzel,,lemma_kf_2645,y
1120,víśva-,Nominalstamm,,lemma_viSva_8151,y
1096,ca,Invariabile,,lemma_ca_3184,y
1047,√dhā- 1,Wurzel,,lemma_DA_4664,y
1024,iva,Invariabile,,lemma_iva_1775,y
1008,dyú- ~ div-,Nominalstamm,1,lemma_div_4231,y
1008,dyú- ~ div-,Nominalstamm,2,lemma_dyu_4513,y
977,sóma-,Nominalstamm,,lemma_soma_10160,y
954,ví,Invariabile,,lemma_vi_7952,y
854,√bhū-,Wurzel,,lemma_BU_6403,y
809,ít,Invariabile,,lemma_id_1695,y
754,abhí,Invariabile,,lemma_aBi_765,y
752,utá,Invariabile,,lemma_uta_1879,y
747,√i- 1,Wurzel,,lemma_i_1675,y
697,u,Invariabile,,lemma_u_1841,y
691,cit,Invariabile,,lemma_cid_3315,y
662,hí,Invariabile,,lemma_hi_10645,y
631,√gam-,Wurzel,,lemma_gam_2902,y
609,sám,Invariabile,,lemma_sam_9359,y
591,√pū-,Wurzel,,lemma_pU_5681,y
589,√su-,Wurzel,,lemma_su_9701,y
581,√janⁱ-,Wurzel,,lemma_jan_3389,y
570,√yā- 1,Wurzel,,lemma_yu_7124,y
549,áp-,Nominalstamm,,lemma_ap_616,y
543,gáv- ~ gó-,Nominalstamm,,lemma_go_3032,y
535,rayí- ~ rāy-,Nominalstamm,,lemma_rayi_7325,y
528,máh-,Nominalstamm,,lemma_mah_6708,y
519,√bhr̥-,Wurzel,,lemma_Bf_6437,y
508,pári,Invariabile,,lemma_pari_5285,y
508,úpa,Invariabile,,lemma_upa_1933,y
482,ní,Invariabile,,lemma_ni_4938.1,y
477,ánu,Invariabile,,lemma_anu_510,y
476,vásu-,Nominalstamm,,lemma_vasu_7798,y
471,rátha-,Nominalstamm,,lemma_raTa_7258,y
469,ká-,Pronomen,,lemma_ka_2373,y
458,vŕ̥ṣan-,Nominalstamm,,lemma_vfzan_8408,y
457,yajñá-,Nominalstamm,,lemma_yajYa_7002,y
452,nár-,Nominalstamm,1,lemma_nar_4860,y
452,nár-,Nominalstamm,2,lemma_nf_5085,y
444,aśvín-,Nominalstamm,,lemma_aSvin_1288,y
426,√hū-,Wurzel,,lemma_hU_10718,y
413,mā́,Invariabile,,lemma_mA_6758,y
411,√han-,Wurzel,,lemma_han_10541,y
409,marút-,Nominalstamm,,lemma_marut_6679,y
402,√sthā-,Wurzel,,lemma_sTA_10268,y
401,√pā- 2,Wurzel,,lemma_pA_5405,y
396,váruṇa-,Nominalstamm,,lemma_varuRa_7721,y
390,√vid- 2,Wurzel,,lemma_vid_7999,y
381,sū́rya-,Nominalstamm,,lemma_sUrya_10120,y
381,√vah-,Wurzel,,lemma_vah_7833,y
376,vā́ja-,Nominalstamm,,lemma_vAja_7851,y
370,maghávan-,Nominalstamm,,lemma_maGavan_6504,y
369,√dā- 1,Wurzel,,lemma_dA_4164,y
367,√vr̥dh-,Wurzel,,lemma_vfD_8385,y
367,√śru-,Wurzel,,lemma_Sru_8985,y
360,r̥tá-,Nominalstamm,,lemma_fta_2184,y
359,uṣás-,Nominalstamm,,lemma_uzas_2081,y
350,ūtí-,Nominalstamm,,lemma_Uti_2096,y
346,br̥hánt-,Nominalstamm,,lemma_bfhat_6230,y
343,gír- ~ gīr-,Nominalstamm,,lemma_gir_2975,y
341,eṣá,Pronomen,,lemma_etad_2295,y
338,nú,Invariabile,,lemma_nu_5078,y
336,√sad-,Wurzel,,lemma_sad_9208,y
328,mitrá-,Nominalstamm,,lemma_mitra_6824,y
327,jána-,Nominalstamm,,lemma_jana_3390,y
327,índu-,Nominalstamm,,lemma_indu_1707,y
320,pr̥thivī́-,Nominalstamm,,lemma_pfTivI_5760,y
318,vā,Invariabile,,lemma_vA_7845,y
311,ádhi,Invariabile,,lemma_aDi_354,y
310,√yam-,Wurzel,,lemma_yam_7053,y
307,pitár-,Nominalstamm,,lemma_pitf_5481,y
304,√avⁱ-,Wurzel,,lemma_av_1101,y
294,út,Invariabile,,lemma_ud_1892 ,y
291,√yaj-,Wurzel,,lemma_yaj_6994,y
289,ihá,Invariabile,,lemma_iha_1818,y
286,hótar-,Nominalstamm,,lemma_hotf_10749,y
283,máda-,Nominalstamm,,lemma_mada_6534,y
279,páti-,Nominalstamm,,lemma_pati_5198,y
276,ávas-,Nominalstamm,,lemma_avas_1135,y
272,dhī́-,Nominalstamm,,lemma_DI_4710,y
271,hári-,Nominalstamm,,lemma_hari_10555,y
271,sákhi-,Nominalstamm,,lemma_saKi_9112,y
267,sú,Invariabile,,lemma_su_9702,y
265,√stu-,Wurzel,,lemma_stu_10237,y
265,√pā- 1,Wurzel,,lemma_pA_5404,y
262,bráhman-,Nominalstamm,,lemma_brahman_6268,y
254,mádhu-,Nominalstamm,,lemma_maDu_6550,y
254,práti,Invariabile,,lemma_prati_5868,y
247,rā́jan-,Nominalstamm,,lemma_rAjan_7364,y
246,vípra-,Nominalstamm,,lemma_vipra_8058,y
245,yáthā,Invariabile,,lemma_yaTA_7040,y
244,ródasī-,Nominalstamm,,lemma_rodasI_7497,y
242,√gr̥̄- 1,Wurzel,,lemma_gir_2973,y
241,kaví-,Nominalstamm,,lemma_kavi_2489,y
240,íṣ-,Nominalstamm,,lemma_iz_1778,y
239,mánas-,Nominalstamm,,lemma_manas_6592,y
238,áśva-,Nominalstamm,,lemma_aSva_1254,y
238,√mad-,Wurzel,,lemma_mad_6533,y
236,ápa,Invariabile,,lemma_apa_617,y
233,√juṣ-,Wurzel,,lemma_juz_3541,y
233,√cit-,Wurzel,,lemma_cit_3290,y
230,éka-,Nominalstamm,,lemma_eka_2274,y
225,√naś- 1,Wurzel,,lemma_naS_4888,y
222,√sr̥j-,Wurzel,,lemma_sfj_10132,y
221,anyá-,Nominalstamm,,lemma_anya_601,y
217,adyá,Invariabile,,lemma_adya_315,y
215,√carⁱ-,Wurzel,,lemma_car_3243,y
214,priyá-,Nominalstamm,,lemma_priya_6073,y
212,syá- ~ tyá-,Pronomen,1,lemma_sya_10331,y
212,syá- ~ tyá-,Pronomen,2,lemma_tya_3907,y
211,√vid- 1,Wurzel,,lemma_vid_7998,y
211,√yuj-,Wurzel,,lemma_yuj_7133,y
210,amŕ̥ta-,Nominalstamm,,lemma_amfta_906,y
210,stóma-,Nominalstamm,,lemma_stoma_10256,y
208,tanū́-,Nominalstamm,,lemma_tanU_3644,y
208,īm,Invariabile,,lemma_Im_1829,y
206,mahā́nt-,Nominalstamm,,lemma_mahat_6710,y
205,áva,Invariabile,,lemma_ava_1101.2,y
204,síndhu-,Nominalstamm,,lemma_sinDu_9680,y
201,√vac-,Wurzel,,lemma_vac_7568,y
201,adhvará-,Nominalstamm,,lemma_aDvara_384,y
201,mātár-,Nominalstamm,,lemma_mAtf_6775,y
200,svastí-,Nominalstamm,,lemma_svasti_10485,y
200,víś-,Nominalstamm,,lemma_viS_8140,y
196,ádha,Invariabile,,lemma_aDa_344,y
193,purú-,Nominalstamm,,lemma_puru_5568,y
191,ugrá-,Nominalstamm,,lemma_ugra_1865,y
189,√tr̥̄- 1,Wurzel,,lemma_tar_3685,y
188,áti,Invariabile,,lemma_ati_228,y
188,√vr̥t-,Wurzel,,lemma_vft_8361,y
187,vr̥trá-,Nominalstamm,,lemma_vftra_8365,y
185,mártya-,Nominalstamm,,lemma_martya_6691,y
185,vr̥ṣabhá-,Nominalstamm,,lemma_vfzaBa_8419,y
185,√idh- 1,Wurzel,,lemma_iD_1701,y
