zurich_lemmatype,zurich_lemma,zur-gra_rank,gra_lemma_id,revised (y/n)
root,√ad-,,ad_267,y
root,√adhvarīy-,,aDvarIy_386,y
root,√aghāy-,,aGAy_117,y
root,√ah-,,ah_1397,y
root,√aj-,,aj_169,y
root,√ajirāy-,,ajirAy_189,y
root,√akṣ-,,akz_40,y
root,√amⁱ-,,am_853,y
root,√amitray-,,amitray_886,y
root,√añc-,,ac_144,y
root,√anⁱ-,,an_392,y
root,√añj-,,aYj_208,y
root,√aṅkh-,,aNK_131,y
root,√aṅkūy-,,aNkUy_130,y
root,√anniy-,,anniy_600,y
root,√āp-,,Ap_1532,y
root,√apasy-,,apasy_650,y
root,√ār-,,Ar_1583,y
root,√arātīy-,,arAtIy_987,y
root,√arh-,,arh_1093,y
root,√arṣ-,,arz_1090,y
root,√arthay-,,arTay_1057,y
root,√aś-,,aS_1210,y
root,√ās-,,As_1647,y
root,√as- 1,,as_1305,y
root,√as- 2,,as_1306,y
root,√aśāy-,,aSAy_12129,y
root,√aśⁱ-,,aS_1211,y
root,√asūy-,,asUy_1352,y
root,√aśvāy-,,aSvAy_1286,y
root,√at-,,at_217,y
root,√avasy-,,avasy_1145,y
root,√āvay-,,av_1101,y
root,√avⁱ-,,av_1101,y
root,√aviṣy-,,avizy_1186,y
root,√bādhⁱ-,,bAD_6193,y
root,√baṃh-,,baMh_6133,y
root,√bandh-,,banD_6142,y
root,√bhā-,,BA_6342,y
root,√bhaj-,,Baj_6293,y
root,√bhakṣ-,,Bakz_6282,y
root,√bhan-,,Ban_6304,y
root,√bhand-,,Band_6305,y
root,√bhandanāy-,,BandanAy_6308,y
root,√bhañj-,,BaYj_6295,y
root,√bharv-,,Barv_6330,y
root,√bhas-,,Bas_6339,y
root,√bhī-,,BI_6377,y
root,√bhid-,,Bid_6370,y
root,√bhikṣ-,,Bikz_6368,y
root,√bhīṣ-,,BIs_6383;BI_6377,y
root,√bhiṣaj-,,Bizaj_6374,y
root,√bhiṣajy-,,Bizajy_6376,y
root,√bhr̥-,,Bf_6437,y
root,√bhrāj-,,BrAj_6463,y
root,√bhraś-,,BraMS_6459,y
root,√bhrī-,,BrI_6474,y
root,√bhr̥jj-,,Bfjj_6441,y
root,√bhū-,,BU_6403,y
root,√bhuj- 1,,Buj_6386,y
root,√bhuj- 2,,Buj_6387,y
root,√bhur-,,Bur_6393,y
root,√bhuraj-,,Buraj_6394,y
root,√bhuraṇy-,,BuraRy_6396,y
root,√bhūṣ-,,BUz_6436,y
root,√bhyas-,,Byas_6458,y
root,√brahmaṇy-,,brahmaRy_6264,y
root,√br̥h-,,bfh_6227,y
root,√brū-,,brU_6279,y
root,√budh-,,buD_6217,y
root,√cakṣ-,,cakz_3190,y
root,√canasy-,,canasy_3224,y
root,√cand-,,Scand_8926,y
root,√caraṇīy-,,caraRIy_3247,y
root,√carⁱ-,,car_3243,y
root,√cat-,,cat_3199,y
root,√cāy-,,cAy_3273,y
root,√chad-,,Cad_3350,y
root,√chand-,,Cad_3351,y
root,√chid-,,Cid_3365,y
root,√ci- 1,,ci_3282,y
root,√ci- 2,,ci_3282,y
root,√ci- 3,,ci_3283,y
root,√cit-,,cit_3290,y
root,√cr̥t-,,cft_3321,y
root,√cud-,,cud_3318,y
root,√cyu-,,cyu_3347,y
root,√dā- 1,,dA_4164,y
root,√dā- 2,,dA_4165,y
root,√dā- 3,,da_4166,y
root,√dabh-,,daB_4084,y
root,√dad-,,dA_4164,y
root,√dagh-,,daG_4061,y
root,√dah-,,dah_4163,y
root,√dakṣ-,,dakz_4040,y
root,√damany-,,damany_4094,y
root,√damāy-,,damAy_4095,y
root,√dambh-,,daB_4084,y
root,√damⁱ-,,dam_4090,y
root,√daṃs-,,daMs_4031,y
root,√daṃś-,,daMS_4029,y
root,√dan-,,dan_4082,y
root,√das-,,das_4150,y
root,√dās-,,dAs_4208,y
root,√dāś-,,dAS_4202,y
root,√daśasy-,,daSasy_4141,y
root,√day-,,day_4102;day_12411,y
root,√devay-,,devay_4453,y
root,√dhā- 1,,DA_4664,y
root,√dhā- 2,,DA_4665,y
root,√dhamⁱ-,,Dam_4649,y
root,√dhanⁱ-,,Dan_4626,y
root,√dhanv-,,Danv_4642,y
root,√dhāv- 1,,DAv_4691,y
root,√dhāv- 2,,DAv_4692,y
root,√dhī-,,DI_4709,y
root,√dhiṣaṇy-,,DizaRy_4706,y
root,√dhiyāy-,,DiyAy_4702,y
root,√dhr̥-,,Df_4738,y
root,√dhraj-,,Draj_4764,y
root,√dhr̥ṣ-,,Dfz_4742,y
root,√dhu-,,Dav_4662,y
root,√dhū-,,DU_4727,y
root,√dhunay-,,Dunay_4719,y
root,√dhūrv-,,DUrv_4735,y
root,√dhvaṃs-,,Dvas_4784,y
root,√dhvanⁱ-,,Dvan_4780,y
root,√di-,,day_4102,y
root,√dī- 1,,dI_4255,y
root,√dī- 2,,dI_4254,y
root,√dih-,,dih_4253,y
root,√diś-,,diS_4250,y
root,√dīv-,,div_4230,y
root,√dr̥- ~ dr̥̄-,,dar_4104,y
root,√drā- 1,,drA_4555,y
root,√dr̥h-,,dfh_4417,y
root,√dr̥ś-,,dfS_4406,y
root,√dru-,,dru_4564,y
root,√drū-,,drU_4575,y
root,√druh-,,druh_4570,y
root,√duchunāy-,,duCunAy_4288,y
root,√duh-,,duh_4377,y
root,√durgr̥bhīy-,,durgfBIy_4317,y
root,√durhaṇāy-,,durhaRAy_4345,y
root,√dūṣ-,,duz_4365,y
root,√duvasy-,,duvasy_4356,y
root,√dviṣ-,,dviz_4617,y
root,√dyut-,,dyut_4517,y
root,√ej-,,ej_2290,y
root,√gā-,,gA_2947,y
root,√gā(y)-,,gA_2948,y
root,√gadh-,,gaD_2889,y
root,√gāh-,,gAh_2971;gah_2945,y
root,√gam-,,gam_2902,y
root,√gātuy-,,gAtuy_2953,y
root,√gātūy-,,gAtuy_2953,y
root,√gavy-,,gavy_2937,y
root,√ghas-,,Gas_3138,y
root,√ghr̥-,,Gar_3129,y
root,√ghrā-,,GrA_3183,y
root,√ghuṣ-,,Guz_3140,y
root,√glā-,,glA_3123,y
root,√gopāy-,,gopAy_3061,y
root,√gr̥-,,gar_2913,y
root,√gr̥̄- 1,,gir_2973,y
root,√gr̥̄- 2,,gir_2974,y
root,√gra(n)th-,,graT_3099,y
root,√gras-,,gras_3107,y
root,√gr̥bhāy-,,gfBAy_3019,y
root,√gr̥bhⁱ-,,graB_3103,y
root,√gr̥dh-,,gfD_3012,y
root,√gr̥h-,,garh_2927,y
root,√gu-,,gu_2988,y
root,√guh-,,guh_2998,y
root,√gup-,,gup_2994,y
root,√gūrdhay-,,gUrDay_3008,y
root,√hā- 1,,hA_10638,y
root,√hā- 2,,hA_10639,y
root,√han-,,han_10541,y
root,√hary-,,hary_10585,y
root,√has-,,has_10620,y
root,√hās-,,hAs_10643,y
root,√heṣ-,,hez_10745,y
root,√hi-,,hi_10644,y
root,√hīḍ- ~ hīḷ-,,hIq_10711,y
root,√hiṃs-,,hiMs_10646,y
root,√hnu-,,hnu_10762,y
root,√hr̥̄-,,har_10550,y
root,√hr̥- 1,,hf_10720,y
root,√hr̥- 2,,hary_10584,y
root,√hr̥ṇāy-,,hfRAy_10721,y
root,√hr̥ṇīy-,,hfRAy_10721,y
root,√hr̥ṣ-,,hfz_10733,y
root,√hu-,,hu_10713,y
root,√hū-,,hU_10718,y
root,√huvany-,,huvany_10717,y
root,√hvr̥- ~ hru-,,hvf_10777,y
root,√i- 1,,i_1675,y
root,√i- 2,,inv_1753,y
root,√īḍ- ~ īḷ-,,Iq_1824,y
root,√idh- 1,,iD_1701,y
root,√idh- 2,,eD_2304,y
root,√īj-,,Ij_1823,y
root,√īkṣ-,,Ikz_1820,y
root,√il-,,iq_12174,y
root,√indray-,,indray_1721,y
root,√iṅg-,,iNg_1678,y
root,√īṅkhay-,,INKay_1822,y
root,√īr-,,Ir_1831,y
root,√iradh-,,iraD_1765,y
root,√irajy-,,raj_7232,y
root,√irasy-,,irasy_1767,y
root,√īś-,,IS_1836,y
root,√īṣ-,,Iz_1838,y
root,√iṣ- 1,,iz_1776,y
root,√iṣ- 2,,iz_1777,y
root,√iṣaṇy-,,izaRy_1782,y
root,√iṣay-,,izay_1784,y
root,√iṣudhy-,,izuDy_1796,y
root,√iṣūy-,,izUy_1802,y
root,√jajjh-,,jaJJ_3381,y
root,√jakṣ- 1,,jakz_3369,y
root,√jakṣ- 2,,jakz_3370,y
root,√jambh- 1,,jaB_3419,y
root,√jambh- 2,,jaB_3419,y
root,√janⁱ-,,jan_3389,y
root,√janīy-,,janIy_3412,y
root,√jar-,,jar_3427,y
root,√jāray-,,jAray_3491,y
root,√jas-,,jas_3459,y
root,√jeh-,,jeh_3562,y
root,√ji- 1,,ji_3500,y
root,√ji- 2 ~ jinv-,,ji_3501;jinv_3510,y
root,√jīv-,,jIv_3526,y
root,√jmāy-,,jmAy_3579,y
root,√jñā-,,jYA_3571,y
root,√jr̥̄- ~ jūr-,,jar_3429;jur_3539,y
root,√jri-,,jri_3603,y
root,√jr̥mbh-,,jfmB_3555,y
root,√jū-,,jU_3547,y
root,√jūrv-,,jUrv_3554,y
root,√juṣ-,,juz_3541,y
root,√jyā-,,jyA_3580,y
