DOTS_AND_ZEROS	COMMAS_AND_ZEROS	DOTS	COMMAS	GRASSMANN	BOOK_INDEX	HYMN_INDEX	STANZA_INDEX
01.001.01	01,001,01	1.1.1	1,1,1	1,1	0	0	0
01.001.02	01,001,02	1.1.2	1,1,2	1,2	0	0	1
01.001.03	01,001,03	1.1.3	1,1,3	1,3	0	0	2
01.001.04	01,001,04	1.1.4	1,1,4	1,4	0	0	3
01.001.05	01,001,05	1.1.5	1,1,5	1,5	0	0	4
01.001.06	01,001,06	1.1.6	1,1,6	1,6	0	0	5
01.001.07	01,001,07	1.1.7	1,1,7	1,7	0	0	6
01.001.08	01,001,08	1.1.8	1,1,8	1,8	0	0	7
01.001.09	01,001,09	1.1.9	1,1,9	1,9	0	0	8
01.002.01	01,002,01	1.2.1	1,2,1	2,1	0	1	9
01.002.02	01,002,02	1.2.2	1,2,2	2,2	0	1	10
01.002.03	01,002,03	1.2.3	1,2,3	2,3	0	1	11
01.002.04	01,002,04	1.2.4	1,2,4	2,4	0	1	12
01.002.05	01,002,05	1.2.5	1,2,5	2,5	0	1	13
01.002.06	01,002,06	1.2.6	1,2,6	2,6	0	1	14
01.002.07	01,002,07	1.2.7	1,2,7	2,7	0	1	15
01.002.08	01,002,08	1.2.8	1,2,8	2,8	0	1	16
01.002.09	01,002,09	1.2.9	1,2,9	2,9	0	1	17
01.003.01	01,003,01	1.3.1	1,3,1	3,1	0	2	18
01.003.02	01,003,02	1.3.2	1,3,2	3,2	0	2	19
01.003.03	01,003,03	1.3.3	1,3,3	3,3	0	2	20
01.003.04	01,003,04	1.3.4	1,3,4	3,4	0	2	21
01.003.05	01,003,05	1.3.5	1,3,5	3,5	0	2	22
01.003.06	01,003,06	1.3.6	1,3,6	3,6	0	2	23
01.003.07	01,003,07	1.3.7	1,3,7	3,7	0	2	24
01.003.08	01,003,08	1.3.8	1,3,8	3,8	0	2	25
01.003.09	01,003,09	1.3.9	1,3,9	3,9	0	2	26
01.003.10	01,003,10	1.3.10	1,3,10	3,10	0	2	27
01.003.11	01,003,11	1.3.11	1,3,11	3,11	0	2	28
01.003.12	01,003,12	1.3.12	1,3,12	3,12	0	2	29
01.004.01	01,004,01	1.4.1	1,4,1	4,1	0	3	30
01.004.02	01,004,02	1.4.2	1,4,2	4,2	0	3	31
01.004.03	01,004,03	1.4.3	1,4,3	4,3	0	3	32
01.004.04	01,004,04	1.4.4	1,4,4	4,4	0	3	33
01.004.05	01,004,05	1.4.5	1,4,5	4,5	0	3	34
01.004.06	01,004,06	1.4.6	1,4,6	4,6	0	3	35
01.004.07	01,004,07	1.4.7	1,4,7	4,7	0	3	36
01.004.08	01,004,08	1.4.8	1,4,8	4,8	0	3	37
