01.001.01	a	agním īḷe puróhitaṁ
01.001.01	b	yajñásya devám r̥tvíjam
01.001.01	c	hótāraṁ ratnadhā́tamam
01.001.02	a	agníḥ pū́rvebhir ŕ̥ṣibhir
01.001.02	b	ī́ḍiyo nū́tanair utá
01.001.02	c	sá devā́m̐ éhá vakṣati
01.001.03	a	agnínā rayím aśnavat
01.001.03	b	póṣam evá divé-dive
01.001.03	c	yaśásaṁ vīrávattamam
01.001.04	a	ágne yáṁ yajñám adhvaráṁ
01.001.04	b	viśvátaḥ paribhū́r ási
01.001.04	c	sá íd devéṣu gachati
01.001.05	a	agnír hótā kavíkratuḥ
01.001.05	b	satyáś citráśravastamaḥ
01.001.05	c	devó devébhir ā́ gamat
01.001.06	a	yád aṅgá dāśúṣe tuvám
01.001.06	b	ágne bhadráṁ kariṣyási
01.001.06	c	távét tát satyám aṅgiraḥ
01.001.07	a	úpa tvāgne divé-dive
01.001.07	b	dóṣāvastar dhiyā́ vayám
01.001.07	c	námo bháranta émasi
01.001.08	a	rā́jantam adhvarā́ṇaaṁ
01.001.08	b	gopā́m r̥tásya dī́divim
01.001.08	c	várdhamānaṁ suvé dáme
01.001.09	a	sá naḥ pitéva sūnáve
01.001.09	b	ágne sūpāyanó bhava
01.001.09	c	sácasvā naḥ suastáye
01.002.01	a	vā́yav ā́ yāhi darśata
01.002.01	b	imé sómā áraṁkr̥tāḥ
01.002.01	c	téṣām pāhi śrudhī́ hávam
01.002.02	a	vā́ya ukthébhir jarante
01.002.02	b	tuvā́m áchā jaritā́raḥ
01.002.02	c	sutásomā aharvídaḥ
01.002.03	a	vā́yo táva prapr̥ñcatī́
01.002.03	b	dhénā jigāti dāśúṣe
01.002.03	c	urūcī́ sómapītaye
01.002.04	a	índravāyū imé sutā́
01.002.04	b	úpa práyobhir ā́ gatam
01.002.04	c	índavo vām uśánti hí
01.002.05	a	vā́yav índraś ca cetathaḥ
01.002.05	b	sutā́nāṁ vājinīvasū
01.002.05	c	tā́v ā́ yātam úpa dravát
01.002.06	a	vā́yav índraś ca sunvatá
01.002.06	b	ā́ yātam úpa niṣkr̥tám
01.002.06	c	makṣú itthā́ dhiyā́ narā
01.002.07	a	mitráṁ huve pūtádakṣaṁ
01.002.07	b	váruṇaṁ ca riśā́dasam
01.002.07	c	dhíyaṁ ghr̥tā́cīṁ sā́dhantā
01.002.08	a	r̥téna mitrāvaruṇāv
01.002.08	b	r̥tāvr̥dhāv r̥taspr̥śā
01.002.08	c	krátum br̥hántam āśathe@
01.002.09	a	kavī́ no mitrā́váruṇā
01.002.09	b	tuvijātā́ urukṣáyā
01.002.09	c	dákṣaṁ dadhāte apásam
01.003.01	a	áśvinā yájvarīr íṣo
01.003.01	b	drávatpāṇī śúbhas patī
01.003.01	c	púrubhujā canasyátam
01.003.02	a	áśvinā púrudaṁsasā
01.003.02	b	nárā śávīrayā dhiyā́
01.003.02	c	dhíṣṇiyā vánataṁ gíraḥ
01.003.03	a	dásrā yuvā́kavaḥ sutā́
01.003.03	b	nā́satyā vr̥ktábarhiṣaḥ
01.003.03	c	ā́ yātaṁ rudravartanī
01.003.04	a	índrā́ yāhi citrabhāno
01.003.04	b	sutā́ imé tuvāyávaḥ
01.003.04	c	áṇvībhis tánā pūtā́saḥ
01.003.05	a	índrā́ yāhi dhiyéṣitó
01.003.05	b	víprajūtaḥ sutā́vataḥ
01.003.05	c	úpa bráhmāṇi vāghátaḥ
01.003.06	a	índrā́ yāhi tū́tujāna
01.003.06	b	úpa bráhmāṇi harivaḥ
01.003.06	c	suté dadhiṣva naś cánaḥ
01.003.07	a	ómāsaś carṣaṇīdhr̥to
01.003.07	b	víśve devāsa ā́ gata
01.003.07	c	dāśvā́ṁso dāśúṣaḥ sutám
01.003.08	a	víśve devā́so aptúraḥ
01.003.08	b	sutám ā́ ganta tū́rṇayaḥ
01.003.08	c	usrā́ iva svásarāṇi
01.003.09	a	víśve devā́so asrídha
01.003.09	b	éhimāyāso adrúhaḥ
01.003.09	c	médhaṁ juṣanta váhnayaḥ
