"01.001.02";"312"
"01.001.05";"123"
"01.001.06";"579"
"01.001.09";"477"
"01.002.04";"47"
"01.002.05";"84, 105"
"01.002.06";"125"
"01.002.07";"371"
"01.003.04";"11"
"01.003.05";"455"
"01.003.11";"371"
"01.004.02";"11"
"01.004.03";"37"
"01.004.04";"452"
"01.004.05";"198, 362"
"01.004.09";"211, 424"
"01.005.03";"45"
"01.005.04";"558"
"01.005.06";"424"
"01.005.09";"11"
"01.005.10";"161"
"01.006.01";"115"
"01.006.02";"70"
"01.006.07";"309"
"01.006.09";"443"
"01.006.10";"475"
"01.007.10";"161"
"01.008.03";"45, 116, 303"
"01.008.04";"304"
"01.008.05";"515"
"01.008.10";"88"
"01.010.05";"327"
"01.010.07";"46"
"01.010.08";"309"
"01.010.12";"46"
"01.011.03";"585"
"01.011.04";"157"
"01.011.08";"12, 125"
"01.012.04";"124, 364, 369"
"01.012.05";"375"
"01.012.08";"364"
"01.013.04";"384"
"01.013.06";"414"
"01.013.07";"420"
"01.014.01";"365"
"01.014.07";"224"
"01.014.08";"11"
"01.014.12";"361"
"01.015";"106"
"01.015.01";"46"
"01.015.02";"106, 106"
"01.015.03";"11"
"01.015.09";"109"
"01.015.12";"147"
"01.016.03";"7, 387"
"01.016.05";"383"
"01.016.06";"361"
"01.017.01";"311"
"01.017.04";"162"
"01.017.07";"377"
"01.017.08";"387"
"01.017.09";"362"
"01.018.02";"560"
"01.018.04";"559"
"01.018.05";"85"
"01.019.01";"463"
"01.022.03";"11"
"01.022.08";"438"
"01.022.13";"84"
"01.022.21";"375"
"01.023.10";"522"
"01.023.17";"455, 476"
"01.023.18";"400"
"01.023.22";"117, 476, 570"
"01.023.23";"211"
"01.023.24";"29"
"01.024.01";"358"
"01.024.04";"569"
"01.024.06";"368"
"01.024.08";"413, 415"
"01.024.09";"478"
"01.024.11";"361, 369"
"01.024.13";"384"
"01.025.03";"230"
"01.025.07";"128, 369"
"01.025.11";"561"
"01.025.12";"312"
"01.025.13";"47"
"01.025.16";"368, 444"
