01.001.01	1	Агни призываю я – во главе поставленного
01.001.01	2	Бога жертвы (и) жреца,
01.001.01	3	Хотара обильнейшесокровищного.
01.001.02	1	Агни достоин призываний риши –
01.001.02	2	Как прежних, так и нынешних:
01.001.02	3	Да привезет он сюда богов!
01.001.03	1	Агни, посредством (него) пусть достигает он богатства
01.001.03	2	И процветания – изо дня в день –
01.001.03	3	Сияющего, мужеобильнейшего!
01.001.04	1	О Агни, жертва (и) обряд,
01.001.04	2	Которые ты охватываешь со всех сторон,
01.001.04	3	Именно они идут к богам.
01.001.05	1	Агни-хотар с прозорливостью поэта,
01.001.05	2	Истинный, с ярчайшей славой, –
01.001.05	3	Бог с богами да приидет!
01.001.06	1	Когда ты в самом деле возжелаешь,
01.001.06	2	О Агни, сделать добро почитающему (тебя),
01.001.06	3	То у тебя это истинно, о Ангирас.
01.001.07	1	К тебе, о Агни, изо дня в день,
01.001.07	2	О озаряющий тьму, мы приходим
01.001.07	3	С молитвой, неся поклонение –
01.001.08	1	К царящему при обрядах,
01.001.08	2	К пастырю закона, сверкающему,
01.001.08	3	К возрастающему в доме своем.
01.001.09	1	Как отец – сыну,
01.001.09	2	О Агни, будь доступен нам!
01.001.09	3	Сопровождай нас ради блага!
01.002.01	1	O Ваю, приди, приятный для глаз,
01.002.01	2	Эти соки сомы приготовлены.
01.002.01	3	Испей их, услышь призыв!
01.002.02	1	O Ваю, в хвалебных песнях славят
01.002.02	2	Тебя певцы,
01.002.02	3	При выжатом соме, зная (урочный) час.
01.002.03	1	О Ваю, твой (все) заполняющий
01.002.03	2	Голос, простирающийся далеко,
01.002.03	3	Идет к почитающему (тебя) для питья сомы.
01.002.04	1	О Индра-Ваю, вот эти выжатые соки (сомы).
01.002.04	2	Придите с радостными чувствами:
01.002.04	3	Ведь капли (сомы) стремятся к вам!
01.002.05	1	О Ваю и Индра, вы разбираетесь
01.002.05	2	В выжатых (соках сомы), о богатые наградой.
01.002.05	3	Быстро приходите вы оба!
01.002.06	1	О Ваю и Индра, к выжимающему (сому)
01.002.06	2	Придите на условное место –
01.002.06	3	В один миг, с неподдельным желанием, о два мужа!
01.002.07	1	Митру призываю я, обладающего чистой силой действия
01.002.07	2	И Варуну, заботящегося о чужом (?), –
01.002.07	3	(Их обоих), помогающих молитве, смазанной жиром.
01.002.08	1	Истиной, о Митра-Варуна,
01.002.08	2	Умножающие истину, лелеющие истину,
01.002.08	3	Вы достигли высокой силы духа.
01.002.09	1	Пара прозорливцев Митра-Варуна,
01.002.09	2	Сильного рода, с обширным жилищем
01.002.09	3	(Они) дают нам искусную силу действия.
01.003.01	1	О Ашвины, возрадуйтесь
01.003.01	2	Жертвенным возлияниям,
01.003.01	3	О быстрорукие повелители красоты, многорадостные!
01.003.02	1	О Ашвины, богатые чудесами,
01.003.02	2	О два мужа, с большим пониманием
01.003.02	3	Примите благосклонно (наши) голоса, о благоговейные!
01.003.03	1	О чудесные, для вас выжаты (соки сомы)
01.003.03	2	У того, кто разложил жертвенную солому, о Насатьи.
01.003.03	3	Придите, вы оба, следуя сверкающим путем!
01.003.04	1	О Индра, приди, ярко блистающий!
01.003.04	2	Эти выжатые (соки сомы) стремятся к тебе,
01.003.04	3	Очищенные в один прием тонкими (пальцами).
01.003.05	1	О Индра, приди, поощренный (нашей) мыслью,
01.003.05	2	Возбужденный вдохновенными (поэтами) на молитвы
01.003.05	3	Устроителя жертвы, выжавшего (сому)!
01.003.06	1	О Индра, приди, поспешая
01.003.06	2	На молитвы, о хозяин буланых коней!
01.003.06	3	Одобри нашего выжатого (сому)!
01.003.07	1	Помощники, охраняющие людей,
01.003.07	2	О Все-Боги, придите
01.003.07	3	Милостивыми к выжатому (соме) жертвователя!
01.003.08	1	О Все-Боги, пересекающие воды,
01.003.08	2	Придите, быстрые, к выжатому (соме),
01.003.08	3	Как коровы – на пастбища!
01.003.09	1	Все-Боги, беспорочные,
01.003.09	2	Желанные, благосклонные,
01.003.09	3	Пусть насладятся возницы жертвенным напитком!
01.003.10	1	Чистая Сарасвати,
01.003.10	2	Награждающая наградами,
01.003.10	3	Да возжелает жертвы нашей, мыслью добывающая богатство!
01.003.11	1	Побуждающая к богатым дарам,
01.003.11	2	Настроенная на благодеяния,
01.003.11	3	Сарасвати приняла жертву.
01.003.12	1	Великий поток освещает
01.003.12	2	Сарасвати (своим) знаменем.
01.003.12	3	Она господствует надо всеми молитвами.
01.004.01	1	Каждый день мы призываем на помощь
