01.001.01	a	agním īḷe puróhitaṁ yajñásya devám r̥tvíjam
01.001.01	c	hótāraṁ ratnadhā́tamam
01.001.02	a	agníḥ pū́rvebhir ŕ̥ṣibhir ī́ḍyo nū́tanair utá
01.001.02	c	sá devā́m̐ éhá vakṣati
01.001.03	a	agnínā rayím aśnavat póṣam evá divé dive
01.001.03	c	yaśásaṁ vīrávattamam
01.001.04	a	ágne yáṁ yajñám adhvaráṁ viśvátaḥ paribhū́r ási
01.001.04	c	sá íd devéṣu gachati
01.001.05	a	agnír hótā kavíkratuḥ satyáś citráśravastamaḥ
01.001.05	c	devó devébhir ā́ gamat
01.001.06	a	yád aṅgá dāśúṣe tvám ágne bhadráṁ kariṣyási
01.001.06	c	távét tát satyám aṅgiraḥ
01.001.07	a	úpa tvāgne divé dive dóṣāvastar dhiyā́ vayám
01.001.07	c	námo bháranta émasi
01.001.08	a	rā́jantam adhvarā́ṇāṁ gopā́m r̥tásya dī́divim
01.001.08	c	várdhamānaṁ své dáme
01.001.09	a	sá naḥ pitéva sūnávé 'gne sūpāyanó bhava
01.001.09	c	sácasvā naḥ svastáye
01.002.01	a	vā́yav ā́ yāhi darśatemé sómā áraṁkr̥tāḥ
01.002.01	c	téṣām pāhi śrudhī́ hávam
01.002.02	a	vā́ya ukthébhir jarante tvā́m áchā jaritā́raḥ
01.002.02	c	sutásomā aharvídaḥ
01.002.03	a	vā́yo táva prapr̥ñcatī́ dhénā jigāti dāśúṣe
01.002.03	c	urūcī́ sómapītaye
01.002.04	a	índravāyū imé sutā́ úpa práyobhir ā́ gatam
01.002.04	c	índavo vām uśánti hí
01.002.05	a	vā́yav índraś ca cetathaḥ sutā́nāṁ vājinīvasū
01.002.05	c	tā́v ā́ yātam úpa dravát
01.002.06	a	vā́yav índraś ca sunvatá ā́ yātam úpa niṣkr̥tám
01.002.06	c	makṣv .ìtthā́ dhiyā́ narā
01.002.07	a	mitráṁ huve pūtádakṣaṁ váruṇaṁ ca riśā́dasam
01.002.07	c	dhíyaṁ ghr̥tā́cīṁ sā́dhantā
01.002.08	a	r̥téna mitrāvaruṇāv r̥tāvr̥dhāv r̥taspr̥śā
01.002.08	c	krátum br̥hántam āśāthe
01.002.09	a	kavī́ no mitrā́váruṇā tuvijātā́ urukṣáyā
01.002.09	c	dákṣaṁ dadhāte apásam
01.003.01	a	áśvinā yájvarīr íṣo drávatpāṇī śúbhas patī
01.003.01	c	púrubhujā canasyátam
01.003.02	a	áśvinā púrudaṁsasā nárā śávīrayā dhiyā́
01.003.02	c	dhíṣṇyā vánataṁ gíraḥ
01.003.03	a	dásrā yuvā́kavaḥ sutā́ nā́satyā vr̥ktábarhiṣaḥ
01.003.03	c	ā́ yātaṁ rudravartanī
01.003.04	a	índrā́ yāhi citrabhāno sutā́ imé tvāyávaḥ
01.003.04	c	áṇvībhis tánā pūtā́saḥ
01.003.05	a	índrā́ yāhi dhiyéṣitó víprajūtaḥ sutā́vataḥ
01.003.05	c	úpa bráhmāṇi vāghátaḥ
01.003.06	a	índrā́ yāhi tū́tujāna úpa bráhmāṇi harivaḥ
01.003.06	c	suté dadhiṣva naś cánaḥ
01.003.07	a	ómāsaś carṣaṇīdhr̥to víśve devāsa ā́ gata
01.003.07	c	dāśvā́ṁso dāśúṣaḥ sutám
01.003.08	a	víśve devā́so aptúraḥ sutám ā́ ganta tū́rṇayaḥ
01.003.08	c	usrā́ iva svásarāṇi
01.003.09	a	víśve devā́so asrídha éhimāyāso adrúhaḥ
01.003.09	c	médhaṁ juṣanta váhnayaḥ
01.003.10	a	pāvakā́ naḥ sárasvatī vā́jebhir vājínīvatī
01.003.10	c	yajñáṁ vaṣṭu dhiyā́vasuḥ
01.003.11	a	codayitrī́ sūnŕ̥tānāṁ cétantī sumatīnā́m
01.003.11	c	yajñáṁ dadhe sárasvatī
01.003.12	a	mahó árṇaḥ sárasvatī prá cetayati ketúnā
01.003.12	c	dhíyo víśvā ví rājati
01.004.01	a	surūpakr̥tnúm ūtáye sudúghām iva godúhe
01.004.01	c	juhūmási dyávi dyavi
01.004.02	a	úpa naḥ sávanā́ gahi sómasya somapāḥ piba
01.004.02	c	godā́ íd reváto mádaḥ
01.004.03	a	áthā te ántamānāṁ vidyā́ma sumatīnā́m
01.004.03	c	mā́ no áti khya ā́ gahi
01.004.04	a	párehi vígram ástr̥tam índram pr̥chā vipaścítam
01.004.04	c	yás te sákhibhya ā́ váram
01.004.05	a	utá bruvantu no nído nír anyátaś cid ārata
01.004.05	c	dádhānā índra íd dúvaḥ
01.004.06	a	utá naḥ subhágām̐ arír vocéyur dasma kr̥ṣṭáyaḥ
01.004.06	c	syā́méd índrasya śármaṇi
01.004.07	a	ém āśúm āśáve bhara yajñaśríyaṁ nr̥mā́danam
01.004.07	c	patayán mandayátsakham
01.004.08	a	asyá pītvā́ śatakrato ghanó vr̥trā́ṇām abhavaḥ
01.004.08	c	prā́vo vā́jeṣu vājínam
01.004.09	a	táṁ tvā vā́jeṣu vājínaṁ vājáyāmaḥ śatakrato
01.004.09	c	dhánānām indra sātáye
01.004.10	a	yó rāyò 'vánir mahā́n supāráḥ sunvatáḥ sákhā
01.004.10	c	tásmā índrāya gāyata
01.005.01	a	ā́ tv étā ní ṣīdaténdram abhí prá gāyata
01.005.01	c	sákhāya stómavāhasaḥ
01.005.02	a	purūtámam purūṇā́m ī́śānaṁ vā́ryāṇām
01.005.02	c	índraṁ sóme sácā suté
01.005.03	a	sá ghā no yóga ā́ bhuvat sá rāyé sá púraṁdhyām
01.005.03	c	gámad vā́jebhir ā́ sá naḥ
01.005.04	a	yásya saṁsthé ná vr̥ṇváte hárī samátsu śátravaḥ
01.005.04	c	tásmā índrāya gāyata
01.005.05	a	sutapā́vne sutā́ imé śúcayo yanti vītáye
01.005.05	c	sómāso dádhyāśiraḥ
01.005.06	a	tváṁ sutásya pītáye sadyó vr̥ddhó ajāyathāḥ
01.005.06	c	índra jyaíṣṭhyāya sukrato
01.005.07	a	ā́ tvā viśantv āśávaḥ sómāsa indra girvaṇaḥ
01.005.07	c	śáṁ te santu prácetase
01.005.08	a	tvā́ṁ stómā avīvr̥dhan tvā́m ukthā́ śatakrato
01.005.08	c	tvā́ṁ vardhantu no gíraḥ
01.005.09	a	ákṣitotiḥ saned imáṁ vā́jam índraḥ sahasríṇam
01.005.09	c	yásmin víśvāni paúṁsyā
01.005.10	a	mā́ no mártā abhí druhan tanū́nām indra girvaṇaḥ
01.005.10	c	ī́śāno yavayā vadhám
01.006.01	a	yuñjánti bradhnám aruṣáṁ cárantam pári tasthúṣaḥ
01.006.01	c	rócante rocanā́ diví
01.006.02	a	yuñjánty asya kā́myā hárī vípakṣasā ráthe
01.006.02	c	śóṇā dhr̥ṣṇū́ nr̥vā́hasā
01.006.03	a	ketúṁ kr̥ṇvánn aketáve péśo maryā apeśáse
01.006.03	c	sám uṣádbhir ajāyathāḥ
01.006.04	a	ā́d áha svadhā́m ánu púnar garbhatvám eriré
01.006.04	c	dádhānā nā́ma yajñíyam
01.006.05	a	vīḷú cid ārujatnúbhir gúhā cid indra váhnibhiḥ
01.006.05	c	ávinda usríyā ánu
01.006.06	a	devayánto yáthā matím áchā vidádvasuṁ gíraḥ
01.006.06	c	mahā́m anūṣata śrutám
01.006.07	a	índreṇa sáṁ hí dŕ̥kṣase saṁjagmānó ábibhyuṣā
01.006.07	c	mandū́ samānávarcasā
01.006.08	a	anavadyaír abhídyubhir makháḥ sáhasvad arcati
01.006.08	c	gaṇaír índrasya kā́myaiḥ
01.006.09	a	átaḥ parijmann ā́ gahi divó vā rocanā́d ádhi
01.006.09	c	sám asminn r̥ñjate gíraḥ
01.006.10	a	itó vā sātím ī́mahe divó vā pā́rthivād ádhi
01.006.10	c	índram mahó vā rájasaḥ
01.007.01	a	índram íd gāthíno br̥hád índram arkébhir arkíṇaḥ
01.007.01	c	índraṁ vā́ṇīr anūṣata
01.007.02	a	índra íd dháryoḥ sácā sámmiśla ā́ vacoyújā
01.007.02	c	índro vajrī́ hiraṇyáyaḥ
01.007.03	a	índro dīrghā́ya cákṣasa ā́ sū́ryaṁ rohayad diví
01.007.03	c	ví góbhir ádrim airayat
01.007.04	a	índra vā́jeṣu no 'va sahásrapradhaneṣu ca
01.007.04	c	ugrá ugrā́bhir ūtíbhiḥ
01.007.05	a	índraṁ vayám mahādhaná índram árbhe havāmahe
01.007.05	c	yújaṁ vr̥tréṣu vajríṇam
01.007.06	a	sá no vr̥ṣann amúṁ carúṁ sátrādāvann ápā vr̥dhi
01.007.06	c	asmábhyam ápratiṣkutaḥ
01.007.07	a	tuñjé tuñje yá úttare stómā índrasya vajríṇaḥ
01.007.07	c	ná vindhe asya suṣṭutím
01.007.08	a	vŕ̥ṣā yūthéva váṁsagaḥ kr̥ṣṭī́r iyarty ójasā
01.007.08	c	ī́śāno ápratiṣkutaḥ
01.007.09	a	yá ékaś carṣaṇīnā́ṁ vásūnām irajyáti
01.007.09	c	índraḥ páñca kṣitīnā́m
01.007.10	a	índraṁ vo viśvátas pári hávāmahe jánebhyaḥ
01.007.10	c	asmā́kam astu kévalaḥ
01.008.01	a	éndra sānasíṁ rayíṁ sajítvānaṁ sadāsáham
01.008.01	c	várṣiṣṭham ūtáye bhara
01.008.02	a	ní yéna muṣṭihatyáyā ní vr̥trā́ ruṇádhāmahai
01.008.02	c	tvótāso ny árvatā
01.008.03	a	índra tvótāsa ā́ vayáṁ vájraṁ ghanā́ dadīmahi
01.008.03	c	jáyema sáṁ yudhí spŕ̥dhaḥ
01.008.04	a	vayáṁ śū́rebhir ástr̥bhir índra tváyā yujā́ vayám
01.008.04	c	sāsahyā́ma pr̥tanyatáḥ
01.008.05	a	mahā́m̐ índraḥ paráś ca nú mahitvám astu vajríṇe
01.008.05	c	dyaúr ná prathinā́ śávaḥ
